用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
個人情報,１イ,個人情報,氏名、生年月日、住所、顔写真などによって特定の個人を識別できる情報,1.000 ,1.000 ,0.821 ,東21実21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,実A2教A1啓A2数A1日A1第A1実a1一a1日a1,実B1開B1啓B1日B1第B1実b1教b1,実C1開C1啓C1数C1日C1実c1教c1オf1,実a1開a1教a1一a1日a1第a1教d1啓d1学d1,実b1開b1教b1啓e1,実c1開c1教c1教f1啓f1オf1,開d1教d1啓d1日d1第d1学d1,開e1啓e1,教f1清f1啓f1オf1
個人情報の保護に関する法律|個人情報保護法,１イ,個人情報,個人情報を事業に使用している事業者が従うべき規則を定めた法律,0.834 ,0.917 ,0.531 ,東21実21日21,東11東12実11実12実13実14数11数12日11第11,東S2実S1実S2開S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2日j1,東A1実A1実A2教A1啓A1日A1第A1日a1,開B1日B1,実C1日C1教c1,教a1日a1教d1,開b1,教c1教f1,教d1,開e1,教f1
基本4情報|基本四情報,１イ,個人情報,氏名、性別、住所、生年月日の4つの情報,0.376 ,0.536 ,0.114 ,,実11実12実13実14,実S1実S2数S1数s1,実J1数J1数j1,実s1実s2数s1,実j1数j1,実A1実A2,,実C1,,,,,,
個人識別符号,１イ,個人情報,特定の個人を識別できる文字、番号、記号その他の符号,0.493 ,,,,実11実12実13実14第11,,,,,,,,,,,,,
要配慮個人情報,１イ,個人情報,不当な差別や偏見その他の不利益が生じないよう特に配慮を要する個人情報,0.376 ,,,実21,実11実12実13実14,,,,,,,,,,,,,
プライバシー,１イ,個人の権利,個人の私事・秘密。 また、それが他人から干渉・侵害を受けない権利,0.541 ,0.735 ,0.832 ,,実11実12実13実14数11数12,実S1実S2数S1数S2日S1日S2第S1数s1日s1日s2,数J1日J1第J1数j1日j1,実s2数s1日s1日s2第s1,実j2数j1日j1,実A1開A1教A1啓A2日A1清a1一a1日a1一d1,開B1啓B1第B1教b1,啓C1日C1第C1教c1一c1オf1,教a1清a1一a1日a1東d1教d1啓d1一d1,開b1教b1第b1教e1啓e1,教c1一c1第c1教f1啓f1一f1オf1,東d1教d1清d1啓d1一d1日d1第d1,開e1教e1清e1啓e1学e1,教f1清f1啓f1一f1オf1第f1
プライバシーの権利|プライバシー権,１イ,個人の権利,自己の情報をコントロールできる権利,0.628 ,0.581 ,0.496 ,東21,東12実11実12開11数12,東S2開S1数S1数S2数s1,東J1数J1数j1,東s1開s1数s1,東j1数j1,東A1啓A1第A1,開B1,開C1,開a1第a1学d1,開b1,開c1第c1啓f1,開d1学d1,開e1,啓f1第f1
肖像権,１イ,個人の権利,無断で写真を撮られたり、それを無断で公表・利用されることがない権利,0.891 ,1.000 ,0.803 ,,東12実11実12実13実14開11数11数12日11第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2教A1啓A1啓A2数A1日A1実a1清a1日a1実d1,実B1開B1数B1,実C1啓C1数C1日C1実c1教c1実f1,実a1開a1清a1数a1日a1東d1実d1オd1学d1,開b1数b1第b1,実c1教c1数c1実f1教f1,東d1実d1開d1清d1日d1オd1学d1,開e1学e1,実f1教f1
パブリシティの権利|パブリシティ権,１イ,個人の権利,有名人が自己の氏名や肖像などについて対価を得て第三者に使用させ得る権利,0.767 ,0.843 ,0.419 ,東21,東12実11実12実14開11数11数12第11,東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1第J1数j1,実s1実s2開s1数s1日s1日s2,実j1実j2数j1,実A1実A2教A1実a1実d1,,実C1啓C1実c1実f1,実a1実d1,,実c1実f1,実d1,,実f1
プライバシーマーク,１イ,個人の権利,個人情報について適切な保護措置を講ずる体制を整備している事業者等であることを示すマーク,0.376 ,0.645 ,0.377 ,,実13数12,東S2実S1開S1数S1数S2日s1,実J1実J2数J1,東s1実s1日s1,実j1実j2,,,実C1実c1,学d1,,実c1啓f1,学d1,,啓f1
